Energy	All	Alpha	Beta	Gama	Other
1030	1	1	0	0	0
1031	0	0	0	0	0
1032	0	0	0	0	0
1033	0	0	0	0	0
1034	3	3	0	0	0
1035	0	0	0	0	0
1036	0	0	0	0	0
1037	2	1	1	0	0
1038	1	1	0	0	0
1039	1	1	0	0	0
1040	1	1	0	0	0
1041	0	0	0	0	0
1042	0	0	0	0	0
1043	1	1	0	0	0
1044	1	1	0	0	0
1045	0	0	0	0	0
1046	1	1	0	0	0
1047	0	0	0	0	0
1048	0	0	0	0	0
1049	0	0	0	0	0
1050	1	1	0	0	0
1051	1	1	0	0	0
1052	0	0	0	0	0
1053	0	0	0	0	0
1054	1	1	0	0	0
1055	0	0	0	0	0
1056	0	0	0	0	0
1057	3	3	0	0	0
1058	1	1	0	0	0
1059	0	0	0	0	0
1060	0	0	0	0	0
1061	2	1	1	0	0
1062	0	0	0	0	0
1063	0	0	0	0	0
1064	1	1	0	0	0
1065	0	0	0	0	0
1066	1	1	0	0	0
1067	0	0	0	0	0
1068	0	0	0	0	0
1069	2	1	1	0	0
1070	1	1	0	0	0
1071	0	0	0	0	0
1072	0	0	0	0	0
1073	1	0	1	0	0
1074	0	0	0	0	0
1075	0	0	0	0	0
1076	2	2	0	0	0
1077	0	0	0	0	0
1078	2	1	1	0	0
1079	3	2	1	0	0
1080	2	2	0	0	0
1081	0	0	0	0	0
1082	2	2	0	0	0
1083	1	1	0	0	0
1084	0	0	0	0	0
1085	0	0	0	0	0
1086	0	0	0	0	0
1087	0	0	0	0	0
1088	0	0	0	0	0
1089	1	0	1	0	0
1090	1	0	1	0	0
1091	2	2	0	0	0
1092	1	1	0	0	0
1093	2	2	0	0	0
1094	0	0	0	0	0
1095	1	1	0	0	0
1096	0	0	0	0	0
1097	1	1	0	0	0
1098	1	1	0	0	0
1099	0	0	0	0	0
1100	0	0	0	0	0
1101	1	1	0	0	0
1102	0	0	0	0	0
1103	0	0	0	0	0
1104	0	0	0	0	0
1105	2	2	0	0	0
1106	0	0	0	0	0
1107	2	2	0	0	0
1108	2	2	0	0	0
1109	0	0	0	0	0
1110	0	0	0	0	0
1111	1	1	0	0	0
1112	1	1	0	0	0
1113	0	0	0	0	0
1114	0	0	0	0	0
1115	0	0	0	0	0
1116	1	1	0	0	0
1117	0	0	0	0	0
1118	0	0	0	0	0
1119	2	2	0	0	0
1120	0	0	0	0	0
1121	1	1	0	0	0
1122	1	1	0	0	0
1123	1	1	0	0	0
1124	1	1	0	0	0
1125	1	0	1	0	0
1126	0	0	0	0	0
1127	1	1	0	0	0
1128	0	0	0	0	0
1129	0	0	0	0	0
1130	0	0	0	0	0
1131	3	2	1	0	0
1132	0	0	0	0	0
1133	0	0	0	0	0
1134	1	0	1	0	0
1135	1	1	0	0	0
1136	1	1	0	0	0
1137	1	1	0	0	0
1138	0	0	0	0	0
1139	0	0	0	0	0
1140	2	2	0	0	0
1141	0	0	0	0	0
1142	1	1	0	0	0
1143	0	0	0	0	0
